Age,Workclass,Final_Weight,Education,Education_as_integer,Marital_status,Occupation,Relationship,Gender,Capital_gain,Capital_loss,hours-per-week,income_greater_than_50
25,0,253267,2,10,0,0,0,2,0,1902,36,1
57,1,170603,2,10,0,0,0,2,0,0,40,1
63,1,90393,2,10,0,0,0,2,0,0,48,0
60,0,367695,2,12,0,0,0,2,0,0,40,1
26,0,115717,2,10,0,0,0,2,0,2051,40,0
31,0,364657,2,10,0,0,0,2,0,0,45,1
50,0,98350,2,10,0,0,0,2,0,0,40,1
47,1,114222,2,12,0,0,0,2,0,0,55,1
31,0,59496,2,10,0,0,0,2,0,0,50,0
41,0,104892,2,10,0,0,0,2,2829,0,40,0
61,2,221884,2,10,0,0,0,2,0,0,50,1
39,0,126569,2,10,0,0,0,2,0,0,40,1
55,0,150507,2,10,0,0,0,2,0,0,40,0
56,1,255386,2,10,0,0,0,2,0,0,40,0
36,0,33983,2,11,1,0,3,2,0,0,42,1
42,0,183384,2,10,2,0,3,1,0,0,40,0
46,0,97883,2,10,2,0,3,1,0,0,40,0
43,1,311914,2,10,2,0,3,1,0,0,40,0
49,0,72333,2,10,2,0,3,1,0,0,40,0
40,0,190122,2,10,2,0,3,1,0,0,40,0
33,0,203463,2,10,2,0,3,1,0,0,40,0
52,1,295494,2,11,1,0,3,1,0,0,40,0
29,1,33315,2,12,2,0,3,1,0,0,40,0
21,0,147884,2,10,0,0,6,1,0,0,40,0
19,1,536725,2,10,1,0,6,1,0,0,15,0
22,0,239954,2,10,1,0,6,2,0,0,40,0
19,0,124906,2,10,1,0,4,1,0,1719,25,0
44,0,147110,2,10,2,0,4,2,14344,0,40,1
21,0,140001,2,10,1,0,4,2,0,0,10,0
26,0,264300,2,12,1,0,4,1,0,0,40,0
90,0,171956,2,10,2,0,4,1,0,0,40,0
33,1,111994,2,10,2,0,5,1,0,0,45,0
42,0,136177,2,10,2,0,5,1,0,0,38,0
39,0,129495,2,10,2,0,5,1,0,0,40,0
34,2,168906,2,10,2,0,5,1,0,0,50,0
38,0,168407,2,10,2,0,5,1,5721,0,44,0
28,2,237466,2,10,0,0,1,1,0,0,30,1
37,0,177285,2,11,0,0,1,1,0,0,48,1
32,0,128002,2,11,0,0,1,1,0,0,45,0
38,1,29075,2,10,0,0,1,1,5013,0,40,0
26,0,93169,2,12,0,0,1,1,0,0,40,0
38,0,309230,2,10,0,1,0,2,0,0,40,1
38,0,54816,2,11,0,1,0,2,0,0,40,1
42,0,112494,2,10,0,1,0,2,7298,0,35,1
45,0,294671,2,11,0,1,0,2,4386,0,38,1
56,1,238582,2,10,0,1,0,2,0,0,41,1
33,2,266674,2,10,0,1,0,2,7298,0,56,1
50,2,343748,2,10,0,1,0,2,0,0,35,0
47,0,84790,2,10,0,1,0,2,0,0,40,0
44,0,98779,2,10,0,1,0,2,5178,0,40,1
49,0,182862,2,10,0,1,0,2,7688,0,40,1
36,0,348960,2,10,0,1,0,2,0,0,40,0
36,0,410034,2,12,0,1,0,2,0,0,45,0
35,0,225860,2,11,0,1,0,2,0,0,40,1
33,0,236379,2,11,0,1,0,2,0,0,45,1
36,0,320811,2,10,0,1,0,2,0,0,40,1
24,0,304463,2,10,0,1,0,2,0,0,65,0
45,2,48553,2,10,0,1,0,2,0,0,60,0
40,0,254478,2,10,0,1,0,2,7298,0,50,1
45,0,118714,2,11,0,1,0,2,0,0,40,0
32,0,48520,2,10,0,1,0,2,0,0,40,0
51,0,43705,2,10,0,1,0,2,0,0,40,0
46,0,90042,2,10,0,1,0,2,0,0,40,1
